     0,   -1,    0
     1,    2,    0
     2,    0,    2
     3,   -4,    0
     4,    1,   -2
     5,   -2,   -2
     6,   -3,    2
     7,    3,    2
     8,    5,    0
     9,    4,   -2
    10,   -5,   -2
    11,   -7,    0
    12,    6,    2
    13,   -6,    2
    14,    0,   -4
    15,    1,    4
    16,    8,    0
    17,    7,   -2
    18,   -2,    4
    19,   -3,   -4
    20,    3,   -4
    21,    4,    4
    22,   -8,   -2
    23,   -5,    4
    24,   -9,    2
    25,    9,    2
    26,   -6,   -4
    27,    6,   -4
    28,  -10,    0
    29,    7,    4
    30,   10,   -2
    31,   11,    0
    32,   -8,    4
    33,  -11,   -2
    34,   -1,    6
    35,   -1,   -6
    36,   -9,   -4
    37,    9,   -4
    38,    2,   -6
    39,    2,    6
    40,   -4,    6
    41,   -4,   -6
    42,   12,    2
    43,  -12,    2
    44,   10,    4
    45,    5,    6
    46,    5,   -6
    47,  -13,    0
    48,  -11,    4
    49,   13,   -2
    50,   -7,   -6
    51,   -7,    6
    52,   14,    0
    53,    8,   -6
    54,    8,    6
    55,  -12,   -4
    56,   12,   -4
    57,  -14,   -2
    58,   13,    4
    59,  -10,    6
    60,  -10,   -6
    61,  -15,    2
    62,   15,    2
    63,    0,    8
    64,    1,   -8
    65,   -2,   -8
    66,  -16,    0
    67,   -3,    8
    68,    3,    8
    69,  -14,    4
    70,   11,   -6
    71,   11,    6
    72,    4,   -8
    73,   16,   -2
    74,   -5,   -8
    75,    6,    8
    76,   -6,    8
    77,   15,   -4
    78,  -15,   -4
    79,   17,    0
    80,    7,   -8
    81,  -17,   -2
    82,  -13,    6
    83,  -13,   -6
    84,   -8,   -8
    85,   16,    4
    86,    9,    8
    87,   -9,    8
    88,   14,   -6
    89,   14,    6
    90,  -18,    2
    91,   18,    2
    92,   10,   -8
    93,  -17,    4
    94,  -19,    0
    95,  -11,   -8
    96,   19,   -2
    97,   18,   -4
    98,  -18,   -4
    99,    0,  -10
   100,    1,   10
   101,   -2,   10
   102,  -12,    8
   103,   12,    8
   104,  -16,   -6
   105,  -16,    6
   106,    3,  -10
   107,   -3,  -10
   108,   20,    0
   109,    4,   10
   110,   -5,   10
   111,  -20,   -2
   112,   13,   -8
   113,   19,    4
   114,    6,  -10
   115,   -6,  -10
   116,   17,   -6
   117,   17,    6
   118,    7,   10
   119,  -14,   -8
   120,   -8,   10
   121,   21,    2
   122,  -21,    2
   123,  -20,    4
   124,   -9,  -10
   125,    9,  -10
   126,  -15,    8
   127,   15,    8
   128,  -22,    0
   129,   10,   10
   130,   22,   -2
   131,  -19,    6
   132,  -19,   -6
   133,  -21,   -4
   134,   21,   -4
   135,   16,   -8
   136,  -11,   10
   137,   23,    0
   138,   12,  -10
   139,  -12,  -10
   140,  -17,   -8
   141,   20,   -6
   142,   20,    6
   143,  -23,   -2
   144,   22,    4
   145,   13,   10
   146,   -1,  -12
   147,   -1,   12
   148,    2,   12
   149,    2,  -12
   150,   17,  -11
   151,  -13,  -12
   152,  -19,  -11
   153,   21,    8
   154,   19,   10
   155,   26,    1
   156,  -26,   -1
   157,   25,   -1
   158,   14,   12
   159,    4,   13
   160,  -22,    7
   161,   25,   -7
   162,    6,  -14
   163,   28,   -3
   164,   -2,  -14
   165,   27,    5
   166,    0,   14
   167,  -22,   -8
